"Dosya","OrijinalBayt","Arac","SikismisBayt","OranYuzde","Saniye","MiBps","CpuSaniye"
"100mb_cublas64_12.dll","104883712","rar -m5 -md1g","48117237","45,88","9,25","10,81","41,6"
"100mb_cublas64_12.dll","104883712","bzip3 -b 511","54105281","51,59","25,23","3,96","25"
"100mb_cublas64_12.dll","104883712","bzip3 -b 32 -j 8","57574061","54,89","10,21","9,8","28"
"200mb_thunderbird_xul.dll","206193280","rar -m5 -md1g","61391445","29,77","25,23","7,79","131,1"
"200mb_thunderbird_xul.dll","206193280","bzip3 -b 511","65589667","31,81","42,39","4,64","42"
"200mb_thunderbird_xul.dll","206193280","bzip3 -b 32 -j 8","64410018","31,24","13,49","14,57","68,8"
"300mb_vivaldi.dll","315247016","rar -m5 -md1g","106861003","33,9","54,65","5,5","285,2"
"300mb_vivaldi.dll","315247016","bzip3 -b 511","106279605","33,71","84,3","3,57","83,5"
"300mb_vivaldi.dll","315247016","bzip3 -b 32 -j 8","107047610","33,96","24,65","12,2","117,7"
"400mb_minimax_app.asar","431096742","rar -m5 -md1g","47658890","11,06","30,72","13,38","133,9"
"400mb_minimax_app.asar","431096742","bzip3 -b 511","48364997","11,22","48,1","8,55","47,8"
"400mb_minimax_app.asar","431096742","bzip3 -b 32 -j 8","53932081","12,51","14,93","27,53","71"
"500mb_ggml-cuda.dll","533257912","rar -m5 -md1g","94232187","17,67","48,56","10,47","219,4"
"500mb_ggml-cuda.dll","533257912","bzip3 -b 511","94599246","17,74","73,03","6,96","72,5"
"500mb_ggml-cuda.dll","533257912","bzip3 -b 32 -j 8","102171689","19,16","19,53","26,04","110,8"
